tag,topic_num,topics,label
api,0,"['api', 'error', 'request', 'getting']",3
api,1,"['server', 'internal', '500', 'api']",5
api,2,"['request', '400', 'post', 'bad']",3
api,3,"['undefined', 'server', 'internal', 'property']",2
api,4,"['undefined', 'google', 'read', 'property']",2
api,5,"['json', 'php', 'call', 'response']",3
api,6,"['object', 'call', 'getting', 'code']",2
api,7,"['object', 'google', 'json', 'post']",3
api,8,"['code', 'getting', 'response', 'json']",3
api,9,"['access', 'code', 'origin', 'no']",2
api,10,"['python', '400', 'code', 'requests']",3
api,11,"['access', 'origin', 'allow', 'control']",2
api,12,"['call', 'data', '400', 'object']",2
api,13,"['call', 'python', 'getting', 'function']",1
api,14,"['rest', 'while', 'call', 'object']",2
api,15,"['data', '400', 'value', 'php']",3
api,16,"['while', 'value', 'type', 'rest']",3
api,17,"['react', 'function', 'handling', 'rest']",3
api,18,"['401', 'trying', 'unauthorized', 'value']",2
api,19,"['404', 'returning', 'found', 'url']",4
database,0,"['error', 'syntax', 'database', 'mysql']",2
database,1,"['syntax', 'sql', 'your', 'server']",2
database,2,"['key', 'foreign', 'constraint', 'add']",3
database,3,"['mysql', 'php', 'syntax', '1064']",2
database,4,"['table', 'create', 'sqlite', 'creating']",1
database,5,"['query', 'function', 'insert', 'column']",2
database,6,"['syntax', 'sqlite', 'insert', 'function']",2
database,7,"['data', 'getting', 'inserting', 'while']",2
database,8,"['query', 'insert', 'column', 'statement']",2
database,9,"['insert', 'data', 'php', 'table']",2
database,10,"['android', 'sqlite', 'column', 'no']",2
database,11,"['column', 'insert', 'getting', 'trying']",2
database,12,"['access', 'update', 'statement', 'laravel']",3
database,13,"['creating', 'insert', 'while', '1064']",2
database,14,"['php', 'no', 'have', 'your']",1
database,15,"['query', 'your', 'have', 'access']",3
database,16,"['update', 'your', 'statement', '1064']",2
database,17,"['access', 'sqlite', 'android', 'server']",2
database,18,"['trying', 'while', 'db', 'connect']",3
database,19,"['column', 'syntax', 'access', 'sql']",2
